city,lat,lng,temp,humidity,cloudiness,windspeed,country,date
Soubre,5.79,-6.61,71.96,97,47,4.54,CI,1600808074
Thinadhoo,0.53,72.93,82.06,69,12,8.28,MV,1600808074
Ayagoz,47.97,80.44,48.29,46,100,8.63,KZ,1600808074
Shebunino,46.43,141.86,51.19,82,6,8.12,RU,1600808075
Natal,-5.79,-35.21,79.74,69,20,14.99,BR,1600807789
Talara,-4.58,-81.27,66.72,78,2,14.32,PE,1600808077
Tulum,20.22,-87.47,90.5,62,20,10.29,MX,1600808077
Benidorm,38.54,-0.13,73.33,55,100,8.84,ES,1600808069
Santa Cruz de la Sierra,-17.8,-63.17,83.08,23,0,2.24,BO,1600807853
Mutatá,7.24,-76.44,83.55,78,97,2.82,CO,1600808078
Sikonge,-5.63,32.77,74.61,43,30,8.99,TZ,1600808079
São João da Barra,-21.64,-41.05,69.8,94,90,12.75,BR,1600807872
Guilin,25.28,110.29,69.8,94,90,2.24,CN,1600808079
Rosário do Sul,-30.26,-54.91,61.23,74,0,8.41,BR,1600808080
Amahai,-3.33,128.92,82.99,94,10,2.66,ID,1600808080
Lázaro Cárdenas,17.96,-102.2,85.26,72,92,9.66,MX,1600808080
Nānākuli,21.39,-158.15,83.03,51,1,11.41,US,1600808080
Enid,36.4,-97.88,69.85,100,90,8.05,US,1600808081
Soma,39.19,27.61,68.61,77,27,4.7,TR,1600808081
Manhuaçu,-20.26,-42.03,67.55,84,100,0.89,BR,1600808081
Whitehorse,60.72,-135.05,51.8,53,75,14.99,CA,1600808081
Christchurch,-43.53,172.63,60.8,63,23,4.7,NZ,1600807897
Maniitsoq,65.42,-52.9,33.87,88,60,3.78,GL,1600808082
Kavaratti,10.57,72.64,81.5,79,75,21.61,IN,1600808025
Lavrentiya,65.58,-171.0,38.98,87,91,7.9,RU,1600808082
Kumul,42.8,93.45,63.39,41,0,4.79,CN,1600808082
Klaksvík,62.23,-6.59,42.8,87,99,8.05,FO,1600807840
Cap Malheureux,-19.98,57.61,66.99,75,11,5.01,MU,1600808083
Oranjestad,12.52,-70.03,91.4,63,20,14.99,AW,1600807989
Waingapu,-9.66,120.26,76.89,60,93,3.18,ID,1600807901
Kralendijk,12.15,-68.27,89.6,70,40,17.22,BQ,1600808083
Sardhana,29.15,77.62,79.65,81,65,7.11,IN,1600808083
Flinders,-34.58,150.86,58.28,60,0,3.0,AU,1600808083
Grand Gaube,-20.01,57.66,66.99,75,14,5.01,MU,1600808083
Gravdal,68.12,13.5,39.2,80,40,3.36,NO,1600808083
Ayorou,14.73,0.92,91.17,38,54,12.24,NE,1600808084
Olafsvik,64.89,-23.71,41.94,71,100,16.96,IS,1600807883
Marzuq,14.4,46.47,80.19,35,84,5.68,YE,1600808084
Bogorodskoye,56.55,37.88,52.74,85,87,10.13,RU,1600808084
Paamiut,61.99,-49.67,37.4,80,0,15.75,GL,1600808084
Ekuvukeni,-28.47,30.16,52.38,68,0,2.39,ZA,1600808084
The Valley,18.22,-63.06,88.07,62,20,9.17,AI,1600808086
Korla,41.76,86.15,61.86,31,0,1.25,CN,1600808082
Rome,43.21,-75.46,64.8,45,1,10.29,US,1600807925
Hammerfest,70.66,23.68,42.8,81,75,33.33,NO,1600807830
Rawson,-43.3,-65.1,63.14,30,0,14.05,AR,1600808086
Batemans Bay,-35.72,150.18,48.49,69,0,5.99,AU,1600808086
Marystown,47.17,-55.15,52.0,100,100,8.99,CA,1600808086
Sumbawanga,-7.97,31.62,65.46,47,59,7.72,TZ,1600808086
Petalcingo,17.28,-92.45,86.0,79,75,3.06,MX,1600808087
Oussouye,12.48,-16.55,84.2,83,75,6.93,SN,1600808087
Chake Chake,-5.25,39.77,76.35,86,80,10.29,TZ,1600808087
Acapulco de Juárez,16.86,-99.89,87.8,70,5,8.05,MX,1600807949
Payakumbuh,-0.22,100.63,70.84,85,94,0.2,ID,1600808087
Borgarnes,64.54,-21.92,36.9,80,75,4.7,IS,1600808087
Prattville,32.46,-86.46,72.82,64,90,3.36,US,1600808035
Shevchenkove,49.7,37.17,53.31,54,1,3.06,UA,1600808088
Arrondissement de Riom,45.92,2.92,60.8,72,100,4.7,FR,1600807888
São Mateus do Maranhão,-4.04,-44.48,90.72,35,3,2.93,BR,1600808088
Sarankhola,22.31,89.79,80.58,91,100,9.51,BD,1600808088
Balakhta,55.38,91.6,47.68,89,93,4.38,RU,1600808088
